"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_10~19세","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_남_80~89세","2020년03월_남_90~99세","2020년03월_남_100세 이상","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_10~19세","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년03월_여_80~89세","2020년03월_여_90~99세","2020년03월_여_100세 이상"
"경상남도 진주시 상봉동(4817059500)","14,647","13,965","1,163","1,912","1,416","2,037","2,765","2,404","1,533","657","76","2","7,176","6,788","614","1,003","751","1,084","1,347","1,104","663","213","9","0","7,471","7,177","549","909","665","953","1,418","1,300","870","444","67","2"
"경상남도 진주시 상대동(4817067300)","20,594","19,423","1,755","2,998","2,306","3,027","3,830","3,058","1,756","627","65","1","10,236","9,624","902","1,661","1,227","1,536","1,810","1,414","818","241","15","0","10,358","9,799","853","1,337","1,079","1,491","2,020","1,644","938","386","50","1"
"경상남도 진주시 하대동(4817067800)","25,793","24,237","2,769","3,960","2,814","3,988","5,190","3,365","1,470","598","79","4","12,925","12,102","1,460","2,221","1,557","1,891","2,454","1,663","670","170","14","2","12,868","12,135","1,309","1,739","1,257","2,097","2,736","1,702","800","428","65","2"
"경상남도 진주시 상평동(4817068000)","12,140","11,302","1,147","1,571","1,491","1,864","2,176","1,786","911","309","44","3","6,174","5,775","575","892","792","991","1,087","881","428","118","11","0","5,966","5,527","572","679","699","873","1,089","905","483","191","33","3"
"경상남도 진주시 초장동(4817069500)","27,179","23,628","4,077","3,344","3,924","5,335","3,957","1,785","798","362","40","6","13,785","11,864","2,292","1,873","1,819","2,497","2,012","908","351","100","9","3","13,394","11,764","1,785","1,471","2,105","2,838","1,945","877","447","262","31","3"
"경상남도 진주시 평거동(4817071000)","28,494","26,198","3,759","4,212","3,120","5,008","5,259","2,658","1,373","706","103","0","13,709","12,536","1,953","2,249","1,519","2,219","2,523","1,292","537","223","21","0","14,785","13,662","1,806","1,963","1,601","2,789","2,736","1,366","836","483","82","0"
"경상남도 진주시 신안동(4817071500)","12,198","11,488","1,203","1,718","1,261","1,696","2,197","1,902","992","452","66","1","5,826","5,449","623","898","648","809","1,004","853","446","154","13","1","6,372","6,039","580","820","613","887","1,193","1,049","546","298","53","0"
"경상남도 진주시 이현동(4817072000)","12,554","11,777","1,357","1,683","1,177","1,888","2,447","1,816","978","361","65","5","6,216","5,796","750","983","588","880","1,180","859","444","97","14","1","6,338","5,981","607","700","589","1,008","1,267","957","534","264","51","4"
"경상남도 진주시 판문동(4817073000)","21,922","19,190","3,023","2,408","2,855","4,193","3,248","2,048","976","387","50","2","10,497","9,107","1,468","1,273","1,294","2,010","1,607","955","388","105","7","0","11,425","10,083","1,555","1,135","1,561","2,183","1,641","1,093","588","282","43","2"
"경상남도 진주시 가호동(4817074000)","25,390","23,047","2,704","4,620","3,818","4,076","3,717","2,425","1,195","429","61","2","12,761","11,538","1,383","2,655","2,007","1,990","1,788","1,116","474","117","7","1","12,629","11,509","1,321","1,965","1,811","2,086","1,929","1,309","721","312","54","1"
